id_krs,nim,kode_mk,semester,tahun_akademik,status
KRS001,2301001,SBDM01,5,2025/2026,aktif
KRS002,2301001,AIAR01,5,2025/2026,aktif
KRS003,2301002,SBDM01,5,2025/2026,aktif
KRS004,2301002,DBMS02,3,2025/2026,aktif
KRS005,2301003,AIAR01,5,2025/2026,aktif
KRS006,2301003,STAT01,3,2025/2026,aktif
KRS007,2301004,SBDM01,5,2025/2026,aktif
KRS008,2301005,ALGO01,4,2025/2026,aktif
KRS009,2301006,SBDM01,5,2025/2026,cuti
KRS010,2301007,DBMS02,3,2025/2026,aktif
KRS011,2301008,AIAR01,5,2025/2026,aktif
KRS012,2301009,STAT01,3,2025/2026,aktif
KRS013,2301010,SBDM01,5,2025/2026,aktif
KRS014,2301011,ALGO01,4,2025/2026,aktif
KRS015,2301012,SIAP01,4,2025/2026,aktif
KRS016,2301013,SBDM01,5,2025/2026,aktif
KRS017,2301014,AIAR01,5,2025/2026,aktif
KRS018,2301015,DBMS02,3,2025/2026,aktif
KRS019,2301016,STAT01,3,2025/2026,aktif
KRS020,2301017,ALGO01,4,2025/2026,aktif
