id_nilai,nim,kode_mk,nilai_angka,nilai_huruf,semester,tahun_akademik
NL001,2301001,SBDM01,88,A,5,2025/2026
NL002,2301001,AIAR01,92,A,5,2025/2026
NL003,2301002,SBDM01,75,B+,5,2025/2026
NL004,2301002,DBMS02,80,A-,3,2025/2026
NL005,2301003,AIAR01,70,B,5,2025/2026
NL006,2301003,STAT01,65,B-,3,2025/2026
NL007,2301004,SBDM01,95,A,5,2025/2026
NL008,2301005,ALGO01,55,C,4,2025/2026
NL009,2301007,DBMS02,78,B+,3,2025/2026
NL010,2301008,AIAR01,85,A-,5,2025/2026
NL011,2301009,STAT01,90,A,3,2025/2026
NL012,2301010,SBDM01,72,B,5,2025/2026
NL013,2301011,ALGO01,40,D,4,2025/2026
NL014,2301012,SIAP01,88,A,4,2025/2026
NL015,2301013,SBDM01,91,A,5,2025/2026
NL016,2301014,AIAR01,76,B+,5,2025/2026
NL017,2301015,DBMS02,82,A-,3,2025/2026
NL018,2301016,STAT01,67,B-,3,2025/2026
NL019,2301017,ALGO01,58,C+,4,2025/2026
NL020,2301018,SBDM01,,, 5,2025/2026
